 ,Area,Mean,Min,Max,X,Y,Slice
1,0,82,82,82,497.500,15.500,1
2,0,103,103,103,502.000,76.000,1
3,0,91,91,91,502.000,93.000,1
4,0,113,113,113,544.000,298.000,1
5,0,83,83,83,415.000,311.000,1
6,0,88,88,88,385.000,335.000,1
7,0,125,125,125,320.000,312.000,1
8,0,136,136,136,149.000,299.000,1
9,0,88,88,88,112.000,287.000,1
10,0,124,124,124,102.000,260.000,1
11,0,70,70,70,5.000,159.000,1
12,0,146,146,146,40.000,143.000,1
13,0,111,111,111,99.000,89.000,1
14,0,105,105,105,263.000,98.000,1
15,0,113,113,113,286.000,76.000,1
16,0,127,127,127,366.000,91.000,1
17,0,139,139,139,383.000,135.000,1
18,0,41,41,41,389.000,155.000,1
19,0,98,98,98,400.000,170.000,1
20,0,126,126,126,445.000,25.000,26
21,0,107,107,107,428.000,80.000,26
22,0,146,146,146,459.000,105.000,26
23,0,65,65,65,466.000,112.000,26
24,0,132,132,132,468.000,187.000,26
25,0,141,141,141,478.000,191.000,26
26,0,111,111,111,455.000,272.000,26
27,0,84,84,84,566.000,309.000,26
28,0,48,48,48,428.000,371.000,26
29,0,146,146,146,308.000,198.000,26
30,0,133,133,133,265.000,123.000,26
31,0,127,127,127,174.000,179.000,26
32,0,66,66,66,150.000,147.000,26
33,0,64,64,64,136.000,138.000,26
34,0,27,27,27,45.000,180.000,26
35,0,125,125,125,92.000,240.000,26
36,0,83,83,83,76.000,302.000,26
37,0,63,63,63,80.000,407.000,26
38,0,74,74,74,4.000,152.000,26
39,0,66,66,66,49.000,117.000,60
40,0,28,28,28,41.000,169.000,60
41,0,114,114,114,70.000,192.000,60
42,0,145,145,145,106.000,160.000,60
43,0,134,134,134,231.000,46.000,60
44,0,32,32,32,151.000,303.000,60
45,0,60,60,60,139.000,340.000,60
46,0,21,21,21,290.000,247.000,60
47,0,79,79,79,247.000,322.000,60
48,0,128,128,128,326.000,327.000,60
49,0,102,102,102,485.000,270.000,60
50,0,122,122,122,512.000,294.000,60
51,0,124,124,124,514.000,257.000,60
52,0,155,155,155,376.000,192.000,60
53,0,89,89,89,483.000,152.000,60
54,0,99,99,99,504.000,58.000,60
55,0,115,115,115,408.000,40.000,60
56,0,57,57,57,50.000,171.000,44
57,0,29,29,29,89.000,113.000,44
58,0,108,108,108,85.000,218.000,44
59,0,82,82,82,189.000,144.000,44
60,0,150,150,150,191.000,106.000,44
61,0,110,110,110,201.000,252.000,44
62,0,89,89,89,115.000,336.000,44
63,0,73,73,73,121.000,323.000,44
64,0,149,149,149,325.000,280.000,44
65,0,96,96,96,381.000,182.000,44
66,0,149,149,149,400.000,173.000,44
67,0,124,124,124,434.000,208.000,44
68,0,74,74,74,482.000,215.000,44
69,0,137,137,137,497.000,230.000,44
70,0,92,92,92,444.000,344.000,44
71,0,122,122,122,422.000,51.000,44
72,0,97,97,97,448.000,29.000,44
73,0,99,99,99,17.000,208.000,14
74,0,89,89,89,15.000,148.000,14
75,0,141,141,141,115.000,99.000,14
76,0,104,104,104,102.000,267.000,14
77,0,98,98,98,81.000,296.000,14
78,0,146,146,146,156.000,238.000,14
79,0,90,90,90,217.000,117.000,14
80,0,28,28,28,60.000,418.000,14
81,0,82,82,82,51.000,53.000,14
82,0,144,144,144,294.000,158.000,14
83,0,116,116,116,312.000,129.000,14
84,0,134,134,134,378.000,105.000,14
85,0,127,127,127,434.000,170.000,14
86,0,119,119,119,392.000,340.000,14
87,0,21,21,21,327.000,363.000,14
88,0,32,32,32,492.000,307.000,14
89,0,125,125,125,499.000,299.000,14
90,0,99,99,99,478.000,186.000,14
91,0,149,149,149,503.000,70.000,14
92,0,103,103,103,507.000,39.000,14
93,0,134,134,134,458.000,14.000,14
94,0,18,18,18,481.500,90.500,14
95,0,116,116,116,80.500,26.500,23
96,0,154,154,154,6.500,149.500,23
97,0,63,63,63,39.500,187.500,23
98,0,99,99,99,129.500,121.500,23
99,0,102,102,102,164.500,136.500,23
100,0,105,105,105,93.500,246.500,23
101,0,139,139,139,170.500,191.500,23
102,0,65,65,65,72.500,303.500,23
103,0,23,23,23,72.500,414.500,23
104,0,74,74,74,429.500,366.500,23
105,0,132,132,132,467.500,282.500,23
106,0,75,75,75,551.500,310.500,23
107,0,135,135,135,466.500,185.500,23
108,0,80,80,80,477.500,186.500,23
109,0,47,47,47,477.500,100.500,23
110,0,65,65,65,470.500,90.500,23
111,0,100,100,100,415.500,84.500,23
112,0,127,127,127,459.500,29.500,23
113,0,92,92,92,270.500,124.500,23
114,0,148,148,148,305.500,187.500,23
