frame,ID,x,y
0,0,584,463
0,1,606,446
0,2,597,428
0,3,80,424
0,4,386,333
0,5,579,328
0,6,325,311
0,7,418,310
0,8,544,297
0,9,150,297
0,10,113,285
0,11,103,259
0,12,592,235
0,13,399,169
0,14,389,152
0,15,6,156
0,16,38,143
0,17,381,134
0,18,264,99
0,19,101,89
0,20,367,89
0,21,502,91
0,22,500,75
0,23,284,75
0,24,83,42
0,25,497,13
0,584,463,1
1,605,446,1
2,597,428,1
3,381,337,1
4,579,328,1
5,328,313,1
6,422,309,1
7,541,298,1
8,150,293,1
9,111,284,1
10,101,262,1
11,592,237,1
12,408,170,1
13,392,154,1
14,37,144,1
15,7,150,1
16,376,134,1
17,266,103,1
18,367,92,1
19,101,89,1
20,280,80,1
21,508,85,1
22,370,73,1
23,83,42,1
24,623,29,1
25,494,14,1
0,584,463,1
1,605,446,1
2,596,428,1
3,376,341,1
4,579,328,1
5,333,314,1
6,428,309,1
7,538,299,1
8,150,290,1
9,105,273,1
10,592,236,1
11,413,171,1
12,396,156,1
13,35,144,1
14,10,144,1
15,372,134,1
16,268,107,1
17,364,93,1
18,101,89,1
19,276,83,1
20,510,84,1
21,83,42,1
22,622,29,1
23,492,14,1
0,584,463,1
1,605,446,1
2,597,428,1
3,370,342,1
4,579,331,1
5,336,314,1
6,433,308,1
7,535,301,1
8,150,286,1
9,109,281,1
10,101,266,1
11,592,236,1
12,418,173,1
13,399,158,1
14,33,144,1
15,369,134,1
16,15,134,1
17,270,112,1
18,364,94,1
19,102,90,1
20,272,86,1
21,509,82,1
22,83,42,1
23,622,29,1
24,490,14,1
0,584,463,1
1,605,446,1
2,597,428,1
3,72,419,1
4,366,344,1
5,579,328,1
6,340,315,1
7,438,308,1
8,532,301,1
9,150,281,1
10,105,274,1
11,592,236,1
12,425,174,1
13,404,160,1
14,31,144,1
15,363,134,1
16,18,127,1
17,272,117,1
18,363,94,1
19,267,89,1
20,103,90,1
21,498,87,1
22,513,73,1
23,83,42,1
24,622,29,1
25,488,15,1
0,584,463,1
1,605,446,1
2,597,428,1
3,361,346,1
4,579,328,1
5,345,317,1
6,443,309,1
7,529,302,1
8,151,276,1
9,102,276,1
10,592,237,1
11,432,175,1
12,411,162,1
13,30,145,1
14,358,133,1
15,20,121,1
16,274,121,1
17,363,96,1
18,262,92,1
19,104,90,1
20,495,88,1
21,513,73,1
22,623,29,1
23,485,16,1
0,584,463,1
1,605,446,1
2,597,428,1
3,348,350,1
4,356,321,1
5,579,328,1
6,455,309,1
7,520,302,1
8,94,279,1
9,107,279,1
10,152,268,1
11,592,236,1
12,444,178,1
13,418,165,1
14,28,145,1
15,349,132,1
16,279,129,1
17,363,103,1
18,29,105,1
19,252,98,1
20,105,91,1
21,489,87,1
22,513,72,1
23,370,74,1
24,83,42,1
25,622,29,1
26,479,16,1
0,584,463,1
1,605,446,1
2,597,428,1
3,343,351,1
4,361,322,1
5,579,328,1
6,461,309,1
7,518,301,1
8,93,281,1
9,107,277,1
10,153,263,1
11,592,236,1
12,450,179,1
13,419,165,1
14,27,146,1
15,345,132,1
16,281,134,1
17,246,100,1
18,363,103,1
19,32,100,1
20,107,91,1
21,485,86,1
22,370,75,1
23,513,71,1
24,83,42,1
25,623,29,1
26,476,16,1
0,584,463,1
1,605,446,1
2,597,428,1
3,64,417,1
4,338,352,1
5,367,326,1
6,579,328,1
7,466,309,1
8,515,301,1
9,90,284,1
10,106,276,1
11,153,259,1
12,592,237,1
13,455,180,1
14,420,165,1
15,27,146,1
16,284,139,1
17,339,131,1
18,241,103,1
19,365,104,1
20,109,92,1
21,483,86,1
22,37,90,1
23,370,74,1
24,512,70,1
25,83,42,1
26,528,39,1
27,622,29,1
28,473,16,1
0,584,463,1
1,605,446,1
2,597,428,1
3,334,354,1
4,372,328,1
5,579,330,1
6,472,309,1
7,513,301,1
8,88,287,1
9,105,274,1
10,153,255,1
11,592,236,1
12,6,216,1
13,463,182,1
14,422,166,1
15,27,146,1
16,287,144,1
17,335,131,1
18,239,105,1
19,369,105,1
20,110,93,1
21,482,87,1
22,41,83,1
23,370,74,1
24,508,71,1
25,82,42,1
26,524,39,1
27,623,29,1
28,470,16,1
0,584,463,1
1,605,446,1
2,597,428,1
3,333,356,1
4,378,330,1
5,579,330,1
6,478,308,1
7,510,300,1
8,86,290,1
9,105,272,1
10,155,250,1
11,592,236,1
12,9,213,1
13,468,183,1
14,423,165,1
15,24,146,1
16,289,148,1
17,330,130,1
18,233,107,1
19,371,105,1
20,111,93,1
21,481,88,1
22,370,74,1
23,45,74,1
24,507,68,1
25,520,39,1
26,623,29,1
27,468,16,1
0,584,463,1
1,598,428,1
2,60,416,1
3,331,358,1
4,383,333,1
5,579,327,1
6,483,307,1
7,507,300,1
8,83,292,1
9,103,268,1
10,155,244,1
11,592,236,1
12,11,212,1
13,474,184,1
14,427,166,1
15,21,147,1
16,291,151,1
17,323,130,1
18,226,111,1
19,374,106,1
20,112,95,1
21,481,89,1
22,370,74,1
23,505,68,1
24,46,68,1
25,516,38,1
26,623,29,1
27,465,16,1
0,583,462,1
1,605,446,1
2,597,428,1
3,58,417,1
4,329,361,1
5,388,337,1
6,579,330,1
7,496,302,1
8,83,293,1
9,103,267,1
10,156,241,1
11,592,236,1
12,13,211,1
13,479,185,1
14,430,168,1
15,17,148,1
16,293,154,1
17,318,129,1
18,222,113,1
19,377,106,1
20,114,96,1
21,481,90,1
22,504,67,1
23,49,60,1
24,511,38,1
25,623,29,1
26,462,15,1
0,584,463,1
1,605,446,1
2,597,428,1
3,60,418,1
4,328,362,1
5,392,338,1
6,579,328,1
7,496,301,1
8,83,294,1
9,102,266,1
10,156,237,1
11,592,237,1
12,18,207,1
13,481,185,1
14,435,170,1
15,294,156,1
16,15,148,1
17,313,129,1
18,215,115,1
19,380,104,1
20,116,99,1
21,370,74,1
22,504,70,1
23,50,56,1
24,82,42,1
25,507,38,1
26,460,13,1
0,584,463,1
1,605,446,1
2,597,428,1
3,62,420,1
4,327,365,1
5,398,342,1
6,579,328,1
7,500,300,1
8,82,295,1
9,101,265,1
10,157,231,1
11,592,237,1
12,21,205,1
13,482,185,1
14,439,172,1
15,296,158,1
16,14,148,1
17,308,129,1
18,209,118,1
19,383,104,1
20,117,100,1
21,480,92,1
22,370,75,1
23,501,70,1
24,82,42,1
25,501,37,1
26,623,29,1
27,458,12,1
0,584,462,1
1,606,446,1
2,597,428,1
3,326,367,1
4,402,345,1
5,579,330,1
6,509,306,1
7,81,295,1
8,491,294,1
9,101,263,1
10,159,226,1
11,592,237,1
12,24,203,1
13,482,185,1
14,444,173,1
15,296,160,1
16,13,148,1
17,303,128,1
18,205,119,1
19,387,102,1
20,118,100,1
21,480,92,1
22,370,75,1
23,499,69,1
24,82,42,1
25,497,36,1
26,622,30,1
27,455,12,1
0,584,463,1
1,597,428,1
2,326,369,1
3,406,347,1
4,579,328,1
5,514,307,1
6,81,295,1
7,488,294,1
8,99,259,1
9,159,222,1
10,592,236,1
11,27,201,1
12,482,186,1
13,447,176,1
14,297,163,1
15,13,148,1
16,299,128,1
17,199,121,1
18,391,100,1
