frame,ID,xmin,ymin,xmax,ymax
2,1,579,446,589,479
2,2,600,439,610,453
2,3,586,423,605,433
2,5,367,332,387,348
2,6,574,312,584,344
2,7,317,307,346,319
2,8,413,303,440,314
2,9,528,293,549,305
2,10,146,281,154,300
2,14,399,165,424,176
2,15,385,149,404,162
2,16,4,132,15,158
2,17,22,139,49,149
2,18,359,129,386,139
2,19,260,93,274,119
2,20,92,82,109,97
2,21,361,88,368,98
2,24,266,74,287,91
2,25,74,38,91,46
2,26,482,10,502,18
3,1,579,446,589,480
3,2,600,439,610,453
3,3,587,423,606,433
3,5,361,334,380,350
3,6,574,313,584,347
3,7,319,307,352,320
3,8,420,303,445,313
3,9,524,294,546,306
3,10,145,277,154,296
3,14,405,167,430,178
3,15,389,151,408,164
3,16,8,122,19,148
3,17,20,139,47,149
3,18,355,129,382,139
3,19,263,99,276,124
3,20,92,82,110,97
3,21,361,90,366,97
3,24,263,77,282,93
3,25,74,38,91,46
3,26,479,10,501,18
3,27,615,23,629,36
4,1,578,445,590,480
4,2,600,439,610,453
4,3,586,423,607,433
4,5,357,337,375,351
4,6,574,311,584,345
4,7,323,308,355,321
4,8,423,303,452,313
4,9,522,296,543,307
4,10,146,272,154,290
4,14,412,168,437,179
4,15,394,153,412,166
4,16,12,114,23,140
4,17,19,139,44,149
4,18,350,129,377,139
4,19,265,104,278,128
4,20,93,82,111,98
4,21,361,93,364,97
4,24,259,81,276,95
4,25,74,38,91,46
4,26,478,10,498,19
4,27,615,23,629,36
5,1,578,445,590,480
5,2,600,439,610,453
5,3,587,423,607,433
5,5,353,339,370,352
5,6,574,311,584,345
5,7,328,309,361,323
5,8,429,303,456,313
5,9,519,297,539,307
5,10,146,267,155,285
5,14,419,170,444,180
5,15,401,156,418,167
5,16,14,108,25,134
5,17,17,140,43,149
5,18,346,129,371,138
5,19,267,108,280,133
5,20,94,82,112,98
5,21,360,95,362,97
5,24,254,84,271,98
5,25,74,38,91,46
5,26,474,11,496,20
5,27,615,23,629,36
5,32,348,89,378,103
6,1,578,445,590,480
6,2,600,439,610,453
6,3,587,423,606,433
6,5,349,342,365,354
6,6,574,311,584,345
6,7,336,312,369,326
6,8,438,303,467,314
6,9,512,297,531,307
6,10,147,259,156,279
6,14,428,171,455,183
6,15,408,158,425,170
6,16,17,102,28,127
6,17,14,140,42,150
6,18,337,127,364,137
6,19,271,114,284,141
6,20,96,82,114,98
6,21,360,97,360,97
6,24,245,90,262,103
6,25,74,38,91,46
6,26,469,12,491,21
6,27,615,23,629,36
6,32,346,88,379,104
6,34,484,79,495,95
6,35,499,67,527,77
7,1,579,446,589,479
7,2,600,439,610,453
7,3,586,423,607,433
7,5,345,344,360,355
7,6,574,310,584,345
7,7,342,314,377,329
7,8,447,304,473,314
7,9,507,296,528,307
7,10,147,253,157,274
7,14,436,173,462,184
7,15,410,159,429,171
7,16,19,96,30,121
7,17,13,140,40,151
7,18,332,127,358,136
7,19,274,121,287,146
7,20,97,83,115,99
7,21,360,100,358,97
7,24,238,93,255,106
7,25,74,38,91,46
7,26,465,12,487,21
7,27,615,23,629,36
7,28,499,68,521,92
7,34,480,79,490,93
7,35,497,65,528,76
8,1,579,446,589,479
8,2,600,439,610,453
8,3,587,423,606,433
8,5,341,347,355,357
8,6,573,310,585,345
8,7,348,317,384,332
8,8,452,304,480,314
8,9,503,296,525,307
8,10,147,248,158,269
8,14,443,175,468,186
8,15,411,159,431,172
8,16,22,90,33,115
8,17,13,141,39,151
8,18,326,126,353,136
8,19,277,126,290,151
8,20,99,83,117,100
8,21,360,102,356,96
8,24,232,97,250,109
8,25,74,38,91,46
8,26,462,12,484,21
8,27,615,23,629,36
8,28,499,68,521,90
8,34,478,80,488,92
8,36,360,92,368,115
8,38,365,67,374,82
8,39,327,346,350,357
8,40,83,273,98,293
8,41,101,266,112,286
9,1,578,446,589,480
9,2,600,439,610,453
9,3,587,423,606,433
9,5,337,349,349,358
9,6,573,312,585,347
9,7,355,320,388,334
9,8,458,304,485,314
9,9,500,295,524,307
9,10,148,244,158,265
9,14,449,176,476,187
9,15,412,159,434,173
9,16,25,84,35,108
9,17,13,141,39,151
9,18,320,125,349,136
9,19,279,131,293,157
9,20,100,84,119,101
9,21,359,104,354,96
9,24,228,98,248,112
9,25,74,38,91,46
9,26,459,12,481,21
9,27,615,22,630,36
9,28,500,67,521,89
9,34,477,80,487,92
9,36,364,95,371,114
9,38,365,66,374,82
9,39,321,347,347,360
9,40,82,277,95,295
9,41,99,262,112,286
10,1,578,446,589,480
10,2,600,439,610,453
10,3,587,423,607,433
10,5,334,352,344,360
10,6,573,312,585,347
10,7,361,322,393,336
10,8,463,303,492,314
10,9,497,294,521,306
10,10,149,239,159,261
10,14,455,177,481,189
10,15,413,159,435,172
10,16,27,78,37,102
10,17,12,141,37,151
10,18,316,125,343,135
10,19,282,135,295,160
10,20,102,84,120,102
10,21,359,106,352,96
10,24,222,100,243,115
10,25,73,38,91,46
10,26,456,12,479,21
10,27,615,22,629,36
10,28,501,67,520,88
10,34,476,82,485,92
10,36,366,96,373,114
10,38,365,65,374,82
10,39,320,349,345,361
10,40,79,280,93,299
10,41,98,260,111,284
10,43,35,62,52,90
10,44,512,35,528,43
11,1,578,445,589,480
11,2,600,439,610,453
11,3,588,423,607,433
11,5,321,351,340,364
11,6,573,310,585,346
11,8,470,303,496,312
11,9,494,294,519,306
11,10,150,234,160,255
11,14,461,179,487,190
11,15,415,159,439,174
11,16,30,72,40,95
11,17,8,142,35,151
11,18,310,124,337,135
11,19,284,139,298,164
11,20,103,86,121,102
11,21,359,109,349,96
11,24,216,104,236,118
11,25,73,38,91,46
11,26,453,11,477,21
11,27,616,22,629,36
11,28,501,67,520,87
11,34,476,83,485,93
11,36,367,97,374,114
11,38,365,65,374,82
11,39,316,350,343,363
11,40,76,283,91,301
11,41,97,257,109,281
11,43,37,55,54,83
11,44,508,34,525,42
11,45,3,203,18,221
12,1,578,445,589,480
12,2,600,439,610,453
12,3,587,423,607,433
12,5,318,353,337,368
12,6,573,312,585,347
12,8,476,302,502,312
12,9,482,294,514,309
12,10,150,230,160,250
12,14,467,180,491,190
12,15,418,160,442,175
12,16,33,66,42,89
12,17,5,142,31,152
12,18,304,124,332,134
12,19,286,142,299,166
12,20,104,86,123,105
12,21,359,111,347,95
12,24,211,107,231,120
12,25,73,38,91,46
12,26,448,9,476,21
12,27,616,22,629,36
12,28,502,67,520,86
12,34,476,84,485,94
12,36,369,98,375,113
12,38,365,65,374,82
12,39,313,351,340,364
12,40,76,285,90,301
12,41,96,255,109,279
12,43,40,47,57,75
12,44,503,33,521,43
12,45,4,201,21,221
12,46,498,57,510,78
12,47,368,101,385,110
13,1,578,446,589,479
13,2,600,439,610,453
13,3,587,423,607,433
13,5,316,355,335,370
13,6,574,311,584,345
13,8,481,302,507,312
13,10,151,226,161,246
13,14,470,180,495,191
13,15,421,161,447,178
13,16,35,60,45,83
13,17,2,143,29,153
13,18,300,124,326,134
13,19,288,145,301,169
13,20,106,89,125,107
13,21,359,113,345,95
13,24,205,109,226,122
13,25,73,38,90,46
13,26,445,8,475,20
13,27,616,22,629,36
13,28,503,67,520,85
13,34,475,85,483,94
13,36,371,99,377,113
13,38,365,65,374,82
13,39,310,352,338,365
13,40,75,286,89,302
13,41,95,254,108,277
13,43,43,44,57,67
13,44,497,33,517,42
13,45,9,198,24,217
13,46,499,61,508,77
13,47,372,100,387,109
13,48,49,412,70,423
14,1,578,446,589,480
14,2,600,439,610,453
14,3,587,423,606,433
14,5,315,357,334,373
14,6,574,311,584,345
14,8,487,302,513,312
14,10,152,221,162,242
14,14,471,180,497,191
14,15,426,164,451,179
14,16,38,54,47,76
